,school_name,campus_location,program_name,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days
0,Tech Elevator,Cleveland,Full-Stack Software Development,1/1/2022,6/30/2022,95,39, 89.7%,100.0%,62.9%,77.1%,0.0%,0.0%,37.1%,22.9%,"$64,250","$60,000",63.6%,71.4%,22.7%,17.9%,9.1%,7.1%,4.5%,3.6%
1,Codeup,Dallas,"ull-Stack Web Development - 
Java",1/1/2022,6/30/2022,200,21, 87.5%,100.0%,76.2%,76.2%,0.0%,0.0%,23.8%,23.8%,"$62,700","$57,120",75.0%,81.3%,0.0%,0.0%,0.0%,6.3%,25.0%,12.5%
2,Launch Academy,Boston,"undamentals of Web 
Development",1/1/2022,6/30/2022,90,23, 59.0%,100.0%,69.6%,82.6%,0.0%,0.0%,30.4%,17.4%,"$78,750","$72,500",37.6%,42.1%,12.5%,10.5%,18.8%,15.8%,31.3%,31.6%
3,Tech Elevator,Columbus,Full-Stack Software Development,1/1/2022,6/30/2022,95,47, 89.3%,90.4%,78.7%,87.2%,0.0%,0.0%,21.3%,12.8%,"$69,250","$69,250",50.0%,50.0%,34.2%,31.0%,10.5%,14.3%,5.3%,4.8%
4,Tech Elevator,Wilmington,Full-Stack Software Development,1/1/2022,6/30/2022,95,24, 83.3%,100.0%,45.0%,70.0%,0.0%,0.0%,55.0%,30.0%,"$74,000","$74,000",37.5%,41.7%,25.0%,16.7%,25.0%,33.3%,12.5%,8.3%
5,Tech Elevator,Pittsburgh,Full-Stack Software Development,1/1/2022,6/30/2022,95,42, 95.7%,93.3%,64.3%,81.0%,2.4%,2.4%,33.3%,16.7%,"$62,500","$62,000",82.1%,80.0%,14.3%,17.1%,3.6%,2.9%,0.0%,0.0%
6,Codeup,San Antonio - Vogue,Full-Stack Web Development,1/1/2022,6/30/2022,200,101, 79.5%,100.0%,45.0%,73.8%,1.3%,1.3%,53.8%,25.0%,"$57,491","$56,160",79.2%,77.6%,6.9%,8.2%,3.4%,6.1%,10.3%,8.2%
7,Tech Elevator,Philadelphia,Full-Stack Software Development,1/1/2022,6/30/2022,95,40, 90.0%,100.0%,66.7%,80.6%,0.0%,0.0%,33.3%,19.4%,"$70,000","$70,500",47.8%,42.9%,26.1%,21.4%,8.7%,7.1%,8.7%,7.1%
8,Code Platoon,Chicago,Full-Stack Web Development,1/1/2022,6/30/2022,120,65, 93.0%,98.5%,48.4%,77.4%,0.0%,0.0%,51.6%,22.6%,"$90,000","$85,500",27.5%,34.0%,3.4%,4.0%,17.2%,16.0%,51.7%,46.0%
9,Codeup,San Antonio - Vogue,Data Science,1/1/2022,6/30/2022,200,40, 81.6%,100.0%,77.5%,85.0%,0.0%,0.0%,22.5%,15.0%,"$73,000","$73,000",34.5%,29.4%,34.5%,41.2%,6.9%,5.9%,24.1%,20.6%
10,"uring School of Software & 
Design",Online,Front End Engineering,1/1/2022,6/30/2022,220,85, 67.6%,100.0%,61.9%,77.4%,0.0%,0.0%,35.7%,20.2%,"$90,000","$90,000",15.1%,16.7%,3.8%,7.6%,20.8%,18.2%,56.60000000000001%,53.0%
11,Tech Elevator,National Live Remote,Full-Stack Software Development,1/1/2022,6/30/2022,95,136, 95.3%,71.7%,69.0%,83.1%,0.0%,0.0%,31.0%,16.9%,"$62,400","$61,200",69.1%,69.2%,18.2%,15.4%,7.3%,9.2%,5.5%,6.2%
12,Tech Elevator,Cincinnati,Full-Stack Software Development,1/1/2022,6/30/2022,95,21, 85.7%,100.0%,88.9%,94.4%,0.0%,0.0%,11.1%,5.6%,"$67,500","$65,000",50.0%,53.0%,50.0%,47.1%,0.0%,0.0%,0.0%,0.0%
13,"uring School of Software & 
Design",Online,Back End Engineering,1/1/2022,6/30/2022,220,75, 62.1%,100.0%,66.7%,74.7%,0.0%,0.0%,30.7%,22.7%,"$87,250","$85,000",14.0%,16.1%,10.0%,10.7%,26.0%,25.0%,48.0%,44.6%
